# s=45 S=55
# time_s	level
164572.742	41
164724.261	40
164887.536	39
164887.536	38
164939.741	37
164939.741	36
165034.570	35
165138.771	34
165338.124	33
165376.736	32
165376.736	31
165506.568	30
165769.913	29
165769.913	28
166155.961	27
166155.961	26
166270.489	25
166270.489	24
166270.489	23
166332.500	22
166332.500	21
166437.219	20
166669.169	19
166825.507	18
166859.918	17
166920.172	16
167070.557	15
167221.941	14
167445.044	34
167498.330	33
167544.150	38
167953.249	37
167953.249	36
167978.677	35
168042.483	34
168083.843	33
168143.742	32
168451.345	31
168480.598	30
168482.507	29
168518.173	28
168584.248	27
168584.248	26
168584.248	25
168630.071	24
168769.682	23
168769.682	22
168769.682	21
168981.646	20
169084.076	19
169461.045	18
169617.331	17
169775.006	16
169813.496	15
169981.013	14
169981.013	13
170000.589	12
170124.941	28
170216.842	27
170286.731	26
170286.731	25
170286.731	24
170329.804	23
170410.911	22
170638.665	42
170884.636	41
171052.193	40
171099.884	39
171125.941	38
171385.668	37
171385.668	36
171385.668	35
171446.116	34
171454.209	33
171594.796	32
171887.619	31
171939.051	30
171958.577	29
172221.760	28
172355.929	27
172425.634	26
172442.788	25
172710.235	24
172761.399	23
173449.605	22
173449.605	21
173480.402	20
173480.402	19
173766.513	18
173825.411	17
174532.515	37
174547.843	36
174547.843	35
174660.451	34
174695.470	33
174757.005	32
174815.062	31
174835.775	43
175008.615	42
175008.615	41
175008.615	40
175058.398	39
175058.398	38
175112.436	37
175135.625	36
175236.573	35
175290.254	34
175421.884	33
175421.884	32
175434.464	31
175547.901	30
176063.429	29
176103.071	28
176246.875	27
176653.043	26
176653.043	25
176803.850	24
176887.891	23
177109.644	22
177164.730	21
177474.657	20
177547.690	28
177636.813	27
177683.588	26
177844.740	46
178261.840	45
178273.567	44
178568.495	43
178583.276	42
178687.407	41
178760.147	40
178760.147	39
178905.114	38
178905.114	37
178992.610	36
179049.270	35
179049.270	34
179530.806	33
179586.606	32
179596.459	31
179634.864	30
179634.864	29
179639.060	28
179639.060	27
179650.192	26
179809.448	25
180052.599	24
180241.719	23
180241.719	22
180400.874	21
180847.652	20
180847.652	19
181035.047	18
181035.047	17
181215.290	16
181215.290	15
181215.290	14
181215.290	13
181301.308	12
181301.308	11
181503.258	10
181503.258	9
181503.258	8
181503.258	7
181535.150	6
181761.064	16
181774.002	15
181795.984	14
181864.380	13
181864.380	12
181939.220	11
181939.220	10
181957.701	9
182077.056	29
182846.625	28
182914.503	27
182989.372	26
182989.372	25
183023.182	24
183168.102	23
183168.102	22
183299.527	21
183423.445	20
183430.166	19
183562.785	18
183669.485	17
183774.658	16
183877.207	15
184414.634	14
184741.055	13
184870.533	30
185050.784	29
185050.784	28
185310.330	48
185417.533	47
185464.416	46
185598.647	45
185598.647	44
185598.647	43
185598.647	42
185783.380	41
185979.512	40
185979.512	39
186203.212	38
186226.749	37
186276.870	36
186427.484	35
186427.484	34
186648.226	33
186815.813	32
186976.156	31
187242.448	30
187558.219	29
187574.415	28
187662.691	27
187710.400	26
188012.371	25
188030.666	24
188282.377	23
188282.377	22
188433.902	21
188433.902	20
188642.699	19
188642.699	18
188661.772	17
188723.028	16
188723.028	15
188787.739	35
188893.726	34
189024.098	38
189448.084	37
189498.714	36
189511.884	35
189929.771	34
189994.559	33
189994.559	32
190271.550	31
190312.171	30
190504.230	29
190504.230	28
190574.091	27
190620.517	26
190671.503	25
190782.640	24
191326.641	23
191646.016	22
191646.016	21
191819.279	20
192338.013	31
192355.733	30
192355.733	29
192558.273	28
193085.519	48
193098.690	47
193313.439	46
193508.636	45
193518.736	44
193671.869	43
193848.550	42
193965.457	41
193965.457	40
194357.474	39
194358.244	38
194404.724	37
194447.770	36
194713.572	35
194768.720	34
194768.720	33
195280.942	32
195344.631	31
195426.059	30
195507.333	29
195574.847	28
195712.927	27
195758.872	26
195786.232	25
195842.474	24
196002.987	23
196002.987	22
196190.522	21
196295.398	38
196304.387	37
196413.841	36
196448.634	35
196488.425	34
196670.513	33
196901.520	32
196901.520	31
196910.188	30
196942.104	29
196983.627	28
196983.627	27
197058.428	26
197148.300	25
197399.579	24
197425.499	23
197891.984	22
197949.548	21
198105.905	20
198105.905	19
198171.956	18
198306.656	17
198814.883	31
198843.369	30
198867.948	29
199003.436	28
199086.547	27
199183.956	26
199439.229	46
199716.528	45
200005.722	44
200005.722	43
200095.138	42
200095.138	41
200095.138	40
200411.414	39
200542.139	38
200542.139	37
200542.139	36
200841.173	35
201026.482	34
201173.239	33
201294.880	32
201300.207	31
201427.237	30
201457.632	29
201500.075	28
201531.142	27
201586.889	26
201644.073	25
201742.693	24
202022.199	23
202058.010	22
202058.010	21
202058.010	20
202342.388	19
202470.257	18
202530.562	17
202542.087	26
202622.156	25
202622.156	24
202622.156	23
202819.994	22
202819.994	21
202989.195	20
203057.520	19
203235.623	18
203235.623	17
203342.434	16
203430.889	15
203622.017	35
203659.890	34
203659.890	33
203659.890	32
203681.198	31
203720.919	30
203796.770	29
203815.992	28
204151.568	27
204151.568	26
204264.055	25
204413.328	24
204413.328	23
204413.328	22
204413.328	21
204797.367	20
204850.873	19
205030.245	18
205030.245	17
205030.537	16
205065.812	15
205300.374	14
205506.396	13
205614.455	12
205637.031	11
205977.670	10
205993.237	9
206553.261	8
206553.261	7
206553.261	6
206782.690	5
207045.986	4
207045.986	3
207099.812	2
207143.313	1
207159.640	0
207163.455	20
207180.327	19
207318.187	39
207581.803	38
207581.803	37
207641.681	36
207916.675	35
208443.282	34
208628.459	33
208779.367	32
208925.459	31
209272.447	30
209346.300	29
209479.802	28
209748.339	27
210215.492	26
210304.061	25
210372.537	24
210559.093	23
210559.093	22
210654.840	21
210791.831	20
210833.272	40
210845.402	39
210934.992	38
211105.974	37
211207.505	40
211209.690	39
211292.195	38
211292.195	37
211334.100	36
211334.100	35
211334.100	34
211400.623	33
211559.597	32
211632.793	31
211632.793	30
211980.356	29
211980.356	28
212162.358	27
212198.033	26
212270.907	25
212365.167	24
212541.436	23
212541.436	22
212572.343	21
212677.482	20
212743.530	19
212810.231	18
212956.332	17
212956.332	16
212956.332	15
213004.680	14
213233.653	13
213233.653	12
213346.960	11
213635.987	10
213635.987	9
213678.713	8
213805.173	7
213805.173	6
213805.173	5
213852.351	4
213877.498	3
214009.868	2
214015.640	1
214061.557	0
214154.834	20
214429.845	31
214503.374	30
